Code,Name,Brand,MAP Price,Warranty,Weight,Stock Level,Product Images,UPC/EAN
SI-130928,"GSG G14 Carbine AEG Blowback Airsoft Rifle, Tan",GSG,199.95,30 Day Return / 60 Day Warranty,14.5,0,Product Image URL: http://www.airsoftstation.com/product_images/n/522/gsg-g14-carbine-aeg-blowback-airsoft-rifle-tan__21483.jpg|Product Image URL: http://www.airsoftstation.com/product_images/g/827/gsg-g14-carbine-aeg-blowback-airsoft-rifle-tan__29537.jpg|Product Image URL: http://www.airsoftstation.com/product_images/m/389/gsg-g14-carbine-aeg-blowback-airsoft-rifle-tan__40162.jpg|Product Image URL: http://www.airsoftstation.com/product_images/o/534/gsg-g14-carbine-aeg-blowback-airsoft-rifle-tan__70530.jpg|Product Image URL: http://www.airsoftstation.com/product_images/i/465/gsg-g14-carbine-aeg-blowback-airsoft-rifle-tan__97490.jpg|Product Image URL: http://www.airsoftstation.com/product_images/j/074/gsg-g14-carbine-aeg-blowback-airsoft-rifle-tan__32358.jpg|Product Image URL: http://www.airsoftstation.com/product_images/s/253/gsg-g14-carbine-aeg-blowback-airsoft-rifle-tan__87425.jpg|Product Image URL: http://www.airsoftstation.com/product_images/k/621/gsg-g14-carbine-aeg-blowback-airsoft-rifle-tan__91341.jpg,8.06E+11
SI-P322P-SINGLE,"Classic Army G36/CA36 Hi-Cap Mag, 470 Rounds",JG,21.8,30 Day Return & Warranty,0.56,0,Product Image URL: http://www.airsoftstation.com/product_images/q/487/classic-army-g36ca36-hi-cap-mag-470-rounds__70261.jpg,
SM1R76,Metal AK47 600 Round High Capacity Airsoft Magazine,Crosman,8,30 Day Return & Warranty,0.62,0,Product Image URL: http://www.airsoftstation.com/product_images/p/813/metal-ak47-600-round-high-capacity-airsoft-magazine__48734.jpg|Product Image URL: http://www.airsoftstation.com/product_images/b/299/metal-ak47-600-round-high-capacity-airsoft-magazine__98345.jpg,28478131569
GTE-nHARD,"GATE Airsoft NanoHARD AEG Programmable AEG Controller, MOSFET Unit",GATE Airsoft,45.14,30 Day Return / 1 Year Warranty Through GATE Airsoft,0.4,0,Product Image URL: http://www.airsoftstation.com/product_images/b/682/gate-airsoft-nanohard-aeg-programmable-aeg-controller-mosfet-unit__88291.jpg|Product Image URL: http://www.airsoftstation.com/product_images/a/160/gate-airsoft-nanohard-aeg-programmable-aeg-controller-mosfet-unit__73453.jpg,5.90E+12
GGT-EGC-16P-SRS-BNB-NCM,"G&G CM16 SRS Series 7"" Keymod Airsoft CQB AEG",G&G,231,30 Day Return / 60 Day Warranty,8,0,Product Image URL: http://www.airsoftstation.com/product_images/l/165/gandg-cm16-srs-series-7-keymod-airsoft-cqb-aeg__67461.jpg|Product Image URL: http://www.airsoftstation.com/product_images/x/683/gandg-cm16-srs-series-7-keymod-airsoft-cqb-aeg__86948.jpg|Product Image URL: http://www.airsoftstation.com/product_images/g/752/gandg-cm16-srs-series-7-keymod-airsoft-cqb-aeg__06889.jpg|Product Image URL: http://www.airsoftstation.com/product_images/i/353/gandg-cm16-srs-series-7-keymod-airsoft-cqb-aeg__34372.jpg|Product Image URL: http://www.airsoftstation.com/product_images/g/133/gandg-cm16-srs-series-7-keymod-airsoft-cqb-aeg__53935.jpg|Product Image URL: http://www.airsoftstation.com/product_images/o/973/gandg-cm16-srs-series-7-keymod-airsoft-cqb-aeg__54633.jpg|Product Image URL: http://www.airsoftstation.com/product_images/c/268/gandg-cm16-srs-series-7-keymod-airsoft-cqb-aeg__91748.jpg|Product Image URL: http://www.airsoftstation.com/product_images/v/148/gandg-cm16-srs-series-7-keymod-airsoft-cqb-aeg__11633.jpg,4.71E+12
GGT-EGC-16P-SRL-BNB-NCM,"G&G CM16 SRL 9"" Keymod Airsoft RIfle AEG",G&G,247,30 Day Return / 60 Day Warranty,8.2,1,Product Image URL: http://www.airsoftstation.com/product_images/x/317/gandg-cm16-srl-9-keymod-airsoft-rifle-aeg__78338.jpg|Product Image URL: http://www.airsoftstation.com/product_images/p/975/gandg-cm16-srl-9-keymod-airsoft-rifle-aeg__20416.jpg|Product Image URL: http://www.airsoftstation.com/product_images/w/022/gandg-cm16-srl-9-keymod-airsoft-rifle-aeg__36791.jpg|Product Image URL: http://www.airsoftstation.com/product_images/p/662/gandg-cm16-srl-9-keymod-airsoft-rifle-aeg__93612.jpg|Product Image URL: http://www.airsoftstation.com/product_images/y/235/gandg-cm16-srl-9-keymod-airsoft-rifle-aeg__44072.jpg|Product Image URL: http://www.airsoftstation.com/product_images/g/637/gandg-cm16-srl-9-keymod-airsoft-rifle-aeg__46234.jpg|Product Image URL: http://www.airsoftstation.com/product_images/h/295/gandg-cm16-srl-9-keymod-airsoft-rifle-aeg__36427.jpg|Product Image URL: http://www.airsoftstation.com/product_images/f/387/gandg-cm16-srl-9-keymod-airsoft-rifle-aeg__87985.jpg,4.71E+12
GGT-EGC-16P-SXL-BNB-NCM,"G&G CM16 SRXL 12"" Keymod Airsoft DMR AEG Rifle",G&G,263,30 Day Return / 60 Day Warranty,10,0,Product Image URL: http://www.airsoftstation.com/product_images/v/023/gandg-cm16-srxl-12-keymod-airsoft-dmr-aeg-rifle__59885.jpg|Product Image URL: http://www.airsoftstation.com/product_images/n/833/gandg-cm16-srxl-12-keymod-airsoft-dmr-aeg-rifle__24341.jpg|Product Image URL: http://www.airsoftstation.com/product_images/n/832/gandg-cm16-srxl-12-keymod-airsoft-dmr-aeg-rifle__91324.jpg|Product Image URL: http://www.airsoftstation.com/product_images/l/971/gandg-cm16-srxl-12-keymod-airsoft-dmr-aeg-rifle__23803.jpg|Product Image URL: http://www.airsoftstation.com/product_images/z/061/gandg-cm16-srxl-12-keymod-airsoft-dmr-aeg-rifle__71202.jpg|Product Image URL: http://www.airsoftstation.com/product_images/q/810/gandg-cm16-srxl-12-keymod-airsoft-dmr-aeg-rifle__55000.jpg|Product Image URL: http://www.airsoftstation.com/product_images/o/824/gandg-cm16-srxl-12-keymod-airsoft-dmr-aeg-rifle__14677.jpg|Product Image URL: http://www.airsoftstation.com/product_images/q/022/gandg-cm16-srxl-12-keymod-airsoft-dmr-aeg-rifle__51596.jpg,4.71E+12
EVK-KRY-KTAEG-TRLMGE-BK01,KRYTAC Trident LMG Enhanced Full Metal AEG Airsoft Support Rifle,KRYTAC,495,"60 Day Manufacturer's Warranty ONLY

This item can not be returned to Airsoft Station unless it is in brand new condition.  If the item has been used the item can not be returned.  A 60 Day limited warranty is provided by the manufacturer.",14.5,0,Product Image URL: http://www.airsoftstation.com/product_images/w/636/krytac-trident-lmg-enhanced-full-metal-aeg-airsoft-support-rifle__23642.jpg|Product Image URL: http://www.airsoftstation.com/product_images/o/026/krytac-trident-lmg-enhanced-full-metal-aeg-airsoft-support-rifle__79464.jpg|Product Image URL: http://www.airsoftstation.com/product_images/g/524/krytac-trident-lmg-enhanced-full-metal-aeg-airsoft-support-rifle__38734.jpg|Product Image URL: http://www.airsoftstation.com/product_images/w/332/krytac-trident-lmg-enhanced-full-metal-aeg-airsoft-support-rifle__22442.jpg|Product Image URL: http://www.airsoftstation.com/product_images/g/057/krytac-trident-lmg-enhanced-full-metal-aeg-airsoft-support-rifle__16929.jpg|Product Image URL: http://www.airsoftstation.com/product_images/o/148/krytac-trident-lmg-enhanced-full-metal-aeg-airsoft-support-rifle__98313.jpg|Product Image URL: http://www.airsoftstation.com/product_images/a/522/krytac-trident-lmg-enhanced-full-metal-aeg-airsoft-support-rifle__09915.jpg|Product Image URL: http://www.airsoftstation.com/product_images/i/671/krytac-trident-lmg-enhanced-full-metal-aeg-airsoft-support-rifle__77489.jpg|Product Image URL: http://www.airsoftstation.com/product_images/i/085/krytac-trident-lmg-enhanced-full-metal-aeg-airsoft-support-rifle__68606.jpg,8.10E+11
UK-LT-19B,"Lancer Tactical 10"" Keymod M4 Airsoft AEG, Black",Lancer Tactical,108.95,30 Day Return / 45 Day Warranty,8,0,Product Image URL: http://www.airsoftstation.com/product_images/m/646/lancer-tactical-10-keymod-m4-airsoft-aeg-black__02511.jpg|Product Image URL: http://www.airsoftstation.com/product_images/q/277/lancer-tactical-10-keymod-m4-airsoft-aeg-black__44838.jpg|Product Image URL: http://www.airsoftstation.com/product_images/x/589/lancer-tactical-10-keymod-m4-airsoft-aeg-black__70427.jpg,8.00E+11
UK-LT-19T,"Lancer Tactical 10"" Keymod M4 Airsoft AEG, Tan",Lancer Tactical,108.95,30 Day Return / 45 Day Warranty,8,0,Product Image URL: http://www.airsoftstation.com/product_images/o/883/lancer-tactical-10-keymod-m4-airsoft-aeg-tan__26445.jpg|Product Image URL: http://www.airsoftstation.com/product_images/i/217/lancer-tactical-10-keymod-m4-airsoft-aeg-tan__88902.jpg|Product Image URL: http://www.airsoftstation.com/product_images/p/255/lancer-tactical-10-keymod-m4-airsoft-aeg-tan__65142.jpg|Product Image URL: http://www.airsoftstation.com/product_images/o/134/lancer-tactical-10-keymod-m4-airsoft-aeg-tan__60085.jpg,8.00E+11
